,palmOil,controversialWeapons,gambling,socialScore,nuclear,furLeather,alcoholic,gmo,catholic,socialPercentile,peerCount,governanceScore,environmentPercentile,animalTesting,tobacco,totalEsg,highestControversy,esgPerformance,coal,pesticides,adult,percentile,peerGroup,smallArms,environmentScore,governancePercentile,militaryContract,company_ticker
Value,False,False,False,10.67,False,False,False,False,False,,64,10.21,,True,False,41.16,3,LEAD_PERF,False,False,False,88.39,Oil & Gas Producers,False,20.29,,False,CVX
Value,False,False,False,5.37,False,False,False,False,False,,99,5.49,,False,False,11.41,2,UNDER_PERF,False,False,False,3.1,Software & Services,False,0.55,,False,ACN
Value,False,False,False,11.02,False,False,False,False,False,,33,6.11,,False,False,23.2,3,AVG_PERF,False,False,False,34.05,Food Retailers,False,6.07,,False,COST
Value,False,False,False,13.39,False,False,False,False,False,,55,7.75,,True,False,23.48,3,AVG_PERF,False,False,False,35.08,Healthcare,False,2.34,,False,MDT
Value,False,False,False,14.65,False,False,False,False,False,,42,5.53,,False,False,23.84,3,AVG_PERF,False,False,False,36.38,Consumer Services,False,3.67,,False,MCD
Value,False,False,False,8.17,True,False,False,False,False,,103,5.8100000000000005,,False,False,26.93,2,AVG_PERF,True,False,False,48.13,Utilities,False,12.93,,False,NEE
Value,False,False,False,5.02,False,False,False,False,False,,29,6.47,,False,False,20.28,2,AVG_PERF,False,False,False,23.88,Semiconductors,False,8.8,,False,TXN
Value,False,False,False,9.76,False,False,False,False,True,,83,6.59,,True,False,17.73,2,UNDER_PERF,False,False,False,16.12,Pharmaceuticals,False,1.38,,False,DHR
Value,False,True,False,12.1,False,False,False,False,False,,35,8.59,,False,False,30.7,3,OUT_PERF,False,False,False,62.08,Industrial Conglomerates,False,10.02,,True,HON
Value,False,False,False,12.14,False,False,False,False,False,,41,3.6,,False,False,25.17,2,AVG_PERF,False,False,False,41.53,Transportation,False,9.43,,False,UNP
Value,False,False,False,15.2,False,False,False,False,True,,83,7.76,,True,False,22.99,2,AVG_PERF,False,False,False,33.31,Pharmaceuticals,False,0.03,,False,BMY
Value,False,False,False,16.15,False,False,False,False,False,,165,15.64,,False,False,33.1,5,OUT_PERF,False,False,False,70.11,Banks,False,1.31,,False,WFC
Value,False,False,False,10.83,False,False,False,False,False,,165,12.64,,False,False,25.21,4,AVG_PERF,False,False,False,41.69,Banks,False,1.75,,False,C
Value,False,False,False,13.09,False,False,False,False,True,,83,6.3,,True,False,19.42,2,UNDER_PERF,False,False,False,21.11,Pharmaceuticals,False,0.03,,False,AMGN
Value,False,False,False,17.23,False,False,False,False,True,,83,10.48,,True,False,29.41,2,AVG_PERF,False,False,False,57.44,Pharmaceuticals,False,1.7000000000000002,,False,LLY
Value,False,False,False,11.32,False,False,False,False,False,,92,8.75,,True,True,23.85,3,AVG_PERF,False,False,False,36.39,Food Products,False,3.79,,False,PM
Value,False,False,False,13.49,False,False,False,False,False,,42,4.32,,False,False,21.2,2,AVG_PERF,False,False,False,26.88,Consumer Services,False,3.39,,False,SBUX
Value,False,False,False,4.63,False,False,False,False,False,,57,3.32,,False,False,11.66,2,UNDER_PERF,False,False,False,3.35,Retailing,False,3.7,,False,LOW
Value,False,False,False,10.58,False,False,False,False,False,,99,6.84,,False,False,17.84,2,UNDER_PERF,False,False,False,16.44,Software & Services,False,0.43,,False,ORCL
Value,False,False,False,6.67,False,False,False,False,False,,99,7.46,,False,False,14.59,2,UNDER_PERF,False,False,False,8.24,Software & Services,False,0.47000000000000003,,False,IBM
Value,False,False,False,9.23,False,False,False,False,False,,41,5.68,,False,False,20.5,3,AVG_PERF,False,False,False,24.68,Transportation,False,5.59,,False,UPS
Value,False,True,False,19.72,False,False,False,False,False,,22,8.22,,False,False,36.09,4,OUT_PERF,False,False,False,78.88,Aerospace & Defense,False,8.15,,True,BA
Value,False,False,False,11.96,False,False,False,False,False,,85,10.08,,False,False,22.76,3,AVG_PERF,False,False,False,32.47,Diversified Financials,False,0.72,,False,MS
Value,False,False,False,9.7,False,False,False,False,False,,85,10.08,,False,False,21.26,2,AVG_PERF,False,False,False,27.05,Diversified Financials,False,1.49,,False,BLK
Value,False,False,False,18.47,False,False,False,False,False,,53,8.62,,False,False,34.28,4,OUT_PERF,False,False,False,73.85,Machinery,False,7.18,,False,CAT
Value,False,False,False,13.05,False,False,False,False,False,0,85,10.68,0,False,False,24.98,3,,False,False,False,40.7,Diversified Financials,False,1.25,0,False,GS
Value,False,False,False,9.18,False,False,False,False,False,0,99,6.2,0,False,False,16.84,1,LAG_PERF,False,False,False,13.49,Software & Services,False,1.46,0,False,NOW
Value,False,False,False,15.72,False,False,False,False,True,0,35,11.98,0,True,False,43.35,3,,False,False,False,91.5,Industrial Conglomerates,False,15.65,0,True,GE
Value,False,False,False,13.6,False,False,False,False,False,0,35,8.08,0,True,False,34.88,3,LEAD_PERF,False,False,False,75.51,Industrial Conglomerates,False,13.2,0,False,MMM
Value,False,False,False,9.98,False,False,False,False,False,0,103,5.51,0,False,False,16.59,2,LAG_PERF,False,False,False,11.77,Software & Services,False,1.11,0,False,INTU
Value,False,False,False,16.39,False,False,False,False,False,0,55,6.44,0,False,False,22.86,3,,False,False,False,32.86,Healthcare,False,0.03,0,False,CVS
Value,False,False,False,3.7800000000000002,False,False,False,False,False,0,105,4.8100000000000005,0,False,False,12.33,0,LAG_PERF,False,False,False,4.16,Real Estate,False,3.73,0,False,AMT
Value,False,False,False,7.63,False,False,False,False,False,0,57,5.34,0,False,False,15.04,3,LAG_PERF,False,False,False,9.16,Retailing,False,2.08,0,False,TGT
Value,False,False,False,13.94,False,False,False,False,False,0,55,10.58,0,True,False,29.5,1,,False,False,False,57.81,Healthcare,False,4.97,0,False,ISRG
Value,False,False,False,9.24,False,False,False,False,False,0,54,3.7,0,False,False,16.72,2,LAG_PERF,False,False,False,12.1,Machinery,False,3.7800000000000002,0,False,DE
Value,False,False,False,13.1,False,False,False,False,False,0,66,7.58,0,False,False,26.25,2,,False,False,False,45.8,Telecommunication Services,False,5.57,0,False,CHTR
Value,False,False,False,9.68,False,False,False,False,False,0,57,6.24,0,False,False,19.8,2,LAG_PERF,False,False,False,22.27,Retailing,False,3.88,0,False,BKNG
Value,False,False,False,10.16,False,False,False,False,False,0,85,11.93,0,False,False,24.41,2,,False,False,False,38.6,Diversified Financials,False,2.33,0,False,SCHW
Value,False,False,False,4.2,False,False,False,False,False,0,29,6.41,0,False,False,17.87,2,LAG_PERF,False,False,False,16.52,Semiconductors,False,7.26,0,False,MU
Value,False,False,False,3.15,False,False,False,False,False,0,29,4.97,0,False,False,12.27,0,LAG_PERF,False,False,False,4.09,Semiconductors,False,4.14,0,False,AMAT
Value,False,True,False,15.95,False,False,False,False,False,,22,7.42,,False,False,28.64,3,AVG_PERF,False,False,False,54.48,Aerospace & Defense,False,5.27,,True,LMT
Value,False,False,False,11.14,False,False,False,False,False,0,99,5.83,0,False,False,18.23,1,LAG_PERF,False,False,False,17.58,Software & Services,False,1.27,0,False,FIS
Value,False,False,False,7.19,False,False,False,False,False,0,57,5.61,0,False,False,14.82,2,LAG_PERF,False,False,False,8.69,Retailing,False,2.03,0,False,TJX
Value,False,False,False,5.98,False,False,False,False,False,,55,5.8,,False,False,11.81,2,UNDER_PERF,False,False,False,3.5300000000000002,Healthcare,False,0.03,,False,ANTM
Value,False,False,False,10.78,False,False,False,False,False,0,92,5.16,0,True,False,23.39,3,,False,False,False,34.72,Food Products,False,7.45,0,False,MDLZ
Value,False,False,False,14.83,False,False,False,False,False,0,55,11.86,0,True,False,30.9,3,LEAD_PERF,False,False,False,62.82,Healthcare,False,4.21,0,False,SYK
Value,False,False,False,5.99,False,False,False,False,False,0,61,5.65,0,False,False,11.65,2,LAG_PERF,False,False,False,2.83,Healthcare,False,0.02,0,False,CI
Value,False,False,False,7.7,False,False,False,False,False,0,83,9.19,0,True,False,18.27,1,LAG_PERF,False,False,False,17.69,Pharmaceuticals,False,1.38,0,False,ZTS
Value,False,False,False,11.24,False,False,False,False,False,0,85,8.51,0,False,False,19.81,2,LAG_PERF,False,False,False,22.31,Diversified Financials,False,0.05,0,False,AXP
Value,False,False,False,5.77,False,False,False,False,False,0,94,5.37,0,False,False,12.71,1,LAG_PERF,False,False,False,4.13,Diversified Financials,False,1.57,0,False,SPGI
Value,False,False,False,14.04,False,False,False,False,False,0,83,8.17,0,True,False,22.24,2,,False,False,False,30.47,Pharmaceuticals,False,0.03,0,False,GILD
Value,False,False,False,13.39,False,False,False,False,False,0,66,7.31,0,False,False,23.41,3,,False,False,False,34.8,Telecommunication Services,False,2.7199999999999998,0,False,TMUS
